
=== Sheet: 00_总目录 ===
大梁江湖TRPG 大小样库						
生成日期	2026年6月19日					
说明	合并近期已确定口径的小样库；各库保持独立工作表，便于后续扩容为正式数据库。					
库名	来源文件	合并工作表数	合并后工作表前缀	当前口径	备注	
内功	内功库小样本_修正版_2026年6月19日.xlsx	6	内功	内功运算口径：六根值×系数+加值，产出表属性贡献与取气值；开发者平衡单独存放。		
招式	招式库小样本_单表版_2026年6月19日.xlsx	5	招式	招式口径：成招→基础效果→槽值触发→响应→落果；起式低门槛，式与势只归招式。		
装备	装备库小样本_2026年6月19日.xlsx	8	装备	装备口径：武器、护甲、佩饰、器具；可直接给表属性、常规气骰、临时气骰与许可。	谱本不放文书库；装备库做完后需回滚招式库的持握/装备许可字段。	
药物	药物库小样本_修正版_2026年6月19日.xlsx	6	药物	药物口径：效果必须有明确数值、时点和落果；不写模糊风险或压力。		
坐骑	坐骑载具库小样本_2026年6月19日.xlsx	6	坐骑	坐骑载具口径：处理移动、载重、追逐、逃离、状态与临时气骰。		
文书	文书物品库小样本_2026年6月19日.xlsx	6	文书	文书物品口径：处理身份、通行、证物、账册、地图等；谱本另归外功法门/武艺成长。		
库名	来源文件	源工作表	合并后工作表	数据行数	列数	口径
内功	内功库小样本_修正版_2026年6月19日.xlsx	01_总览	内功_01_总览	6	13	内功运算口径：六根值×系数+加值，产出表属性贡献与取气值；开发者平衡单独存放。
内功	内功库小样本_修正版_2026年6月19日.xlsx	02_表属性运算	内功_02_表属性运算	75	12	内功运算口径：六根值×系数+加值，产出表属性贡献与取气值；开发者平衡单独存放。
内功	内功库小样本_修正版_2026年6月19日.xlsx	03_取气运算	内功_03_取气运算	75	14	内功运算口径：六根值×系数+加值，产出表属性贡献与取气值；开发者平衡单独存放。
内功	内功库小样本_修正版_2026年6月19日.xlsx	04_取气映射	内功_04_取气映射	10	6	内功运算口径：六根值×系数+加值，产出表属性贡献与取气值；开发者平衡单独存放。
内功	内功库小样本_修正版_2026年6月19日.xlsx	05_被动	内功_05_被动	12	9	内功运算口径：六根值×系数+加值，产出表属性贡献与取气值；开发者平衡单独存放。
内功	内功库小样本_修正版_2026年6月19日.xlsx	06_开发者平衡	内功_06_开发者平衡	6	15	内功运算口径：六根值×系数+加值，产出表属性贡献与取气值；开发者平衡单独存放。
招式	招式库小样本_单表版_2026年6月19日.xlsx	01_招式主视图	招式_01_招式主视图	23	21	招式口径：成招→基础效果→槽值触发→响应→落果；起式低门槛，式与势只归招式。
招式	招式库小样本_单表版_2026年6月19日.xlsx	02_槽值触发明细	招式_02_槽值触发明细	42	9	招式口径：成招→基础效果→槽值触发→响应→落果；起式低门槛，式与势只归招式。
招式	招式库小样本_单表版_2026年6月19日.xlsx	03_便行与随手便行	招式_03_便行与随手便行	9	10	招式口径：成招→基础效果→槽值触发→响应→落果；起式低门槛，式与势只归招式。
招式	招式库小样本_单表版_2026年6月19日.xlsx	04_强度标尺	招式_04_强度标尺	9	6	招式口径：成招→基础效果→槽值触发→响应→落果；起式低门槛，式与势只归招式。
招式	招式库小样本_单表版_2026年6月19日.xlsx	05_数据字典	招式_05_数据字典	9	4	招式口径：成招→基础效果→槽值触发→响应→落果；起式低门槛，式与势只归招式。
装备	装备库小样本_2026年6月19日.xlsx	01_装备主表	装备_01_装备主表	19	14	装备口径：武器、护甲、佩饰、器具；可直接给表属性、常规气骰、临时气骰与许可。
装备	装备库小样本_2026年6月19日.xlsx	02_表属性贡献	装备_02_表属性贡献	11	7	装备口径：武器、护甲、佩饰、器具；可直接给表属性、常规气骰、临时气骰与许可。
装备	装备库小样本_2026年6月19日.xlsx	03_常规气骰	装备_03_常规气骰	3	11	装备口径：武器、护甲、佩饰、器具；可直接给表属性、常规气骰、临时气骰与许可。
装备	装备库小样本_2026年6月19日.xlsx	04_临时气骰	装备_04_临时气骰	4	11	装备口径：武器、护甲、佩饰、器具；可直接给表属性、常规气骰、临时气骰与许可。
装备	装备库小样本_2026年6月19日.xlsx	05_装备许可	装备_05_装备许可	16	7	装备口径：武器、护甲、佩饰、器具；可直接给表属性、常规气骰、临时气骰与许可。
装备	装备库小样本_2026年6月19日.xlsx	06_被动与状态	装备_06_被动与状态	6	7	装备口径：武器、护甲、佩饰、器具；可直接给表属性、常规气骰、临时气骰与许可。
装备	装备库小样本_2026年6月19日.xlsx	07_开发者平衡	装备_07_开发者平衡	11	11	装备口径：武器、护甲、佩饰、器具；可直接给表属性、常规气骰、临时气骰与许可。
装备	装备库小样本_2026年6月19日.xlsx	08_字典	装备_08_字典	13	3	装备口径：武器、护甲、佩饰、器具；可直接给表属性、常规气骰、临时气骰与许可。
药物	药物库小样本_修正版_2026年6月19日.xlsx	01_药物主表	药物_01_药物主表	13	11	药物口径：效果必须有明确数值、时点和落果；不写模糊风险或压力。
药物	药物库小样本_修正版_2026年6月19日.xlsx	02_效果明细	药物_02_效果明细	13	9	药物口径：效果必须有明确数值、时点和落果；不写模糊风险或压力。
药物	药物库小样本_修正版_2026年6月19日.xlsx	03_临时气骰	药物_03_临时气骰	3	10	药物口径：效果必须有明确数值、时点和落果；不写模糊风险或压力。
药物	药物库小样本_修正版_2026年6月19日.xlsx	04_代价限制	药物_04_代价限制	4	6	药物口径：效果必须有明确数值、时点和落果；不写模糊风险或压力。
药物	药物库小样本_修正版_2026年6月19日.xlsx	05_开发者平衡	药物_05_开发者平衡	13	10	药物口径：效果必须有明确数值、时点和落果；不写模糊风险或压力。
药物	药物库小样本_修正版_2026年6月19日.xlsx	06_口径字典	药物_06_口径字典	7	2	药物口径：效果必须有明确数值、时点和落果；不写模糊风险或压力。
坐骑	坐骑载具库小样本_2026年6月19日.xlsx	01_坐骑载具主表	坐骑_01_坐骑载具主表	10	12	坐骑载具口径：处理移动、载重、追逐、逃离、状态与临时气骰。
坐骑	坐骑载具库小样本_2026年6月19日.xlsx	02_效果明细	坐骑_02_效果明细	10	8	坐骑载具口径：处理移动、载重、追逐、逃离、状态与临时气骰。
坐骑	坐骑载具库小样本_2026年6月19日.xlsx	03_临时气骰	坐骑_03_临时气骰	2	10	坐骑载具口径：处理移动、载重、追逐、逃离、状态与临时气骰。
坐骑	坐骑载具库小样本_2026年6月19日.xlsx	04_状态规则	坐骑_04_状态规则	6	4	坐骑载具口径：处理移动、载重、追逐、逃离、状态与临时气骰。
坐骑	坐骑载具库小样本_2026年6月19日.xlsx	05_开发者平衡	坐骑_05_开发者平衡	10	10	坐骑载具口径：处理移动、载重、追逐、逃离、状态与临时气骰。
坐骑	坐骑载具库小样本_2026年6月19日.xlsx	06_口径字典	坐骑_06_口径字典	4	2	坐骑载具口径：处理移动、载重、追逐、逃离、状态与临时气骰。
文书	文书物品库小样本_2026年6月19日.xlsx	01_文书物品主表	文书_01_文书物品主表	12	11	文书物品口径：处理身份、通行、证物、账册、地图等；谱本另归外功法门/武艺成长。
文书	文书物品库小样本_2026年6月19日.xlsx	02_效果明细	文书_02_效果明细	12	8	文书物品口径：处理身份、通行、证物、账册、地图等；谱本另归外功法门/武艺成长。
文书	文书物品库小样本_2026年6月19日.xlsx	03_查验限制	文书_03_查验限制	6	5	文书物品口径：处理身份、通行、证物、账册、地图等；谱本另归外功法门/武艺成长。
文书	文书物品库小样本_2026年6月19日.xlsx	04_资源状态	文书_04_资源状态	6	3	文书物品口径：处理身份、通行、证物、账册、地图等；谱本另归外功法门/武艺成长。
文书	文书物品库小样本_2026年6月19日.xlsx	05_开发者平衡	文书_05_开发者平衡	12	9	文书物品口径：处理身份、通行、证物、账册、地图等；谱本另归外功法门/武艺成长。
文书	文书物品库小样本_2026年6月19日.xlsx	06_口径字典	文书_06_口径字典	5	2	文书物品口径：处理身份、通行、证物、账册、地图等；谱本另归外功法门/武艺成长。

=== Sheet: 00_全局口径 ===
规则对象	确定口径
气骰	统一写“气骰”，不是“气头”。口语可说气头，表格与规则字段一律写气骰。
内功	内功通过读取六根运算，产出表属性贡献和取气值；不写式位，不直接进交锋。
招式	招式包含外功、法门、截击、应招；基础效果固定，槽值触发才读取表属性。
装备	装备库只含武器、护甲、佩饰、器具；药物、文书物品、坐骑载具另库。
武器	武器分主手、副手、双手；盾牌归武器。
护甲	护甲分上装和下装。
佩饰	佩饰最多同时生效1件。
药物	必须写明确数值、时点、落果，不写“压力”“风险”“延缓一次”等模糊字段。
谱本	谱本不放文书物品库，后续归外功、法门、武艺成长体系。
待回滚事项	装备库确定后，回滚招式库：持握方式、装备许可、主副手/双手、脱手/缴械/损坏关闭条件。

=== Sheet: 内功_01_总览 ===
内功ID	内功名	层级	阴阳标签	占窍	占窍数	读取六根组	重数上限	被动摘要	散功处理	并行限制	获取来源	玩家可见说明
NG001	小周天养息功	俗家	中平	丹田	1	顶门、丹田、命门、心口、目窍、步根	三重	三重运行：调息额外取回1枚任意常规气骰；沉淀后弱化为取回1枚最低阶常规气骰。	散功后停止表属性运算与取气运算；若已沉淀，仅保留弱化被动。	无	武馆、镖局、基础师承	基础内功；读全六根；用于让开局每个六根都有作用。
NG002	铁衣伏虎劲	行家	少阳、厚重	命门	1	丹田、命门、心口	四重	运行：每场景第一次承受气血结果时，可先以护体处理2点；高重增强硬抗。	散功后停止护体、取气与气血运算；沉淀后可保留一次轻护体被动。	可选：与极阴禁功并行时关闭沉淀被动	军镇、镖局、拳馆	硬功路线；读得少，所以单根转化强。
NG003	照影观微诀	行家	少阴、轻灵	目窍	1	顶门、目窍、步根	四重	运行：每场景第一次识破失败时，可获得一条明显错误方向；高重改善读谱与查探。	散功后停止观照、身势、阴气取气；沉淀后保留一次读谱误读缓冲。	无	书院、密探、游侠师承	观照与身势路线；适合查探、识破、潜行、截击判断。
NG004	沧澜归息诀	神功	混元、中平	丹田、顶门	2	顶门、丹田、命门、心口、目窍、步根	五重	运行：调息类与行气类条目更稳；圆满后可把一次返照改为指定气性。	散功后停止神功取气与高重运算；沉淀后仅留极弱返照被动。	与血行、毒行禁功并行时需开发者审查	大派核心、剧情谱本	高位均衡神功；占两窍，读全六根，覆盖广但受上限警戒。
NG005	九死燃命经	禁功	极阳、血行	命门、心口	2	命门、心口	五重	运行：濒死前后有强爆发和返气潜力；代价由禁功条目或场景写入。	散功按禁功处理，停止全部运算，并可能写入长期伤势。	不与极阴、清静调息类内功并行	禁传残卷、黑市、剧情	高风险窄读禁功；读两根，所以单根系数高，但必须限制。
NG006	寒江夜行功	俗家	少阴、轻灵	步根	1	目窍、步根、丹田	三重	运行：每场景第一次脱离失败时，不额外获得迟滞；沉淀后改为整身轻修正。	散功后停止身势、观照与阴气取气；沉淀后保留弱化脱离被动。	无	船帮、夜行客、渡口黑市	俗家偏身法；读三根，强于全读基础功的单根效率。

=== Sheet: 内功_02_表属性运算 ===
内功ID	内功名	重数	读取六根	转入表属性	六根值变量	示例六根值	乘数	加值	运算式	示例贡献	口径说明
WG009	夺器压腕	外功	拆招	行家	B	少阴	截击	转式	3枚气骰	至少2阴	目标近身宣言持械外功	目标兵器未固定	近身；需空手或短兵可贴腕	目标装备许可被关闭至本次动作结束	阴值≥9：目标武器脱手落在近身区域	合值≥14：同时关闭目标1项连招前置	阴阳差≥6：自身破口1层	自身阴盛	截击骰入息库	高阶拆招可缴械，但不额外给高伤害
FM001	听痕辨路	法门	查探	俗家	C	少阴	正式出手/情景	无	2枚气骰	至少1阴	不读取势	可观察目标区域	道路、房间、尸身周边或机关痕迹	取得1条明确痕迹；解密+1	阴值≥7：确认痕迹方向或新旧	合值≥10：危机-1	阴阳差≥5：记录误判风险	不改势	已用常规骰入息库	法门基础效果固定，不读表属性
FM002	行气解穴	法门	行气	行家	B	中平	正式出手	无	3枚气骰	至少1原始，或阴阳各1	不读取势	目标有封穴	自己或相邻同伴；需可接触或有行气许可	指定封穴-1层	阴值≥8：封穴影响的1枚气骰本轮可正常回收	合值≥12：封穴再-1层	阴阳差≥5：施法者失势	不改势	已用常规骰入息库	法门可处理封穴，不替代调息
FM003	压场问话	法门	交涉	俗家	C	少阳	正式出手/情景	无	2枚气骰	至少1阳	不读取势	对象愿意听见或受场面约束	人物或小群体；同场可闻	危机-1，或取得一句明确态度	阳值≥7：写入“暂时压住场面”许可	合值≥10：取得一项可追问入口	阴阳差≥5：关系记录增加“冒犯”风险	不改势	已用常规骰入息库	交涉不绕开强敌意，只打开入口
FM004	简药止血	法门	医药	俗家	C	少阴	正式出手/情景	无	2枚气骰	至少1阴	不读取势	有药物、布条或可替代材料	自己或接触目标	流血-1，或稳定濒死1次	阴值≥7：额外气血+2	合值≥10：药物不额外消耗，限普通材料	阴阳差≥5：药物资源消耗+1	不改势	已用常规骰入息库；药物按条目消耗	医药恢复固定值，不直接套表属性
FM005	残页参悟	法门	读谱	行家	B	中平	整备/情景	无	3枚气骰	至少1原始	不读取势	拥有谱本、残页或招痕记忆	谱本、残页、口诀或战后招痕	记忆进度+1	阴值≥8：排除一项误读	合值≥12：打开整理许可	阴阳差≥5：记录“疑义待校”	不改势	整备气骰按场景规则处理	读谱先成记忆或许可，不直接变招
BX001	移步	便行	出手便行	通用	D	中平	自己回合	无	1枚气骰	任意	不读取势	无	自己；合法空间	改变1档位置或取得明确站位	无	无	无	不改势	已用骰入息库	不能穿越强封锁，不能稳定脱离纠缠
BX002	整身	便行	出手便行	通用	D	中平	自己回合	无	1枚气骰	任意	不读取势	倒地、姿态散乱、迟滞或轻破口	自己	起身，或迟滞-1，或关闭轻破口（二选一）	无	无	无	不改势	已用骰入息库	不能清强状态
BX003	援手	便行	出手便行	通用	D	中平	自己回合	无	1枚气骰	任意	不读取势	目标可及且无人强争夺	相邻同伴或物件	扶起、递物、拉离普通边缘（三选一）	无	无	无	不改势	已用骰入息库	不能替同伴应招
BX004	取物	便行	出手便行	通用	D	中平	自己回合	无	1枚气骰	任意	不读取势	物件可及且未被争夺	自己可及物件	取出或拾起一件可及物	无	无	无	不改势	已用骰入息库	有人争夺时改正式出手
BX005	闭息	便行	出手便行	通用	D	中平	自己回合	无	1枚气骰	任意	不读取势	烟尘、毒雾、水压等短压力	自己	本轮抵抗一次轻环境压力	无	无	无	不改势	已用骰入息库	不能解毒，不能治疗
BX006	调息	便行	出手便行	通用	D	中平	自己回合	无	1枚气骰作息引	任意	不读取势	息库有可回收常规骰	自己息库	按规则或条目从息库取回常规骰，重掷入气海	无	无	无	不改势	息引入息库；取回骰入气海	只回气骰，不治疗、不清状态、不改势
BX007	返照	便行	随手便行·特殊	通用	D	中平	获得行动机会且断气	无	0枚气骰	无	不读取势	气池和气海均无可用常规骰	自己息库	取回1枚最低阶本命气骰，重掷入气海	无	无	无	不改势	取回骰入气海	保底回气，不提供攻击、防护、治疗
BX008	短话示意	便行	随手便行	通用	D	无	自己回合/响应回合	无	0枚气骰	无	不读取势	无	同场可见或可闻同伴	说一句短话或作简单示意	无	无	无	不改势	无	不能完成交涉、威慑、命令
BX009	换握丢弃	便行	随手便行	通用	D	无	自己回合/响应回合	无	0枚气骰	无	不读取势	已持物件	自己手中物	换握已持武器或丢弃手中小物	无	无	无	不改势	无	不能拔新武器、不能夺物

=== Sheet: 招式_02_槽值触发明细 ===
招式ID	招式名	触发类型	触发条件	触发效果	是否读取表属性	读取表属性	资源/状态限制	开发备注
WG001	破浪横刀	主槽	阳值≥7	阳值≥7：追加气血3点	否			从主视图拆分，便于后续程序读取
WG001	破浪横刀	合值	合值≥10	合值≥10：目标退距1档	否			从主视图拆分，便于后续程序读取
WG001	破浪横刀	差值/风险	阴阳差≥5	阴阳差≥5：自身破口1层	否		写入状态或势面；不得回溯改宣言	从主视图拆分，便于后续程序读取
WG002	回潮压刃	主槽	阳值≥8	阳值≥8：追加气血3点	否			从主视图拆分，便于后续程序读取
WG002	回潮压刃	合值	合值≥12	合值≥12：打开“刀势已圆”	否			从主视图拆分，便于后续程序读取
WG002	回潮压刃	差值/风险	阴阳差≥5	阴阳差≥5：自身转入失势	否		写入状态或势面；不得回溯改宣言	从主视图拆分，便于后续程序读取
WG003	分涛断势	主槽	阴值≥8	阴值≥8：目标本次由当前势转入失势	否		写入状态或势面；不得回溯改宣言	从主视图拆分，便于后续程序读取
WG003	分涛断势	合值	合值≥12	合值≥12：目标锁气中1枚最低点骰入息库	否			从主视图拆分，便于后续程序读取
WG003	分涛断势	差值/风险	阴阳差≥5	阴阳差≥5：自身迟滞1层	否		写入状态或势面；不得回溯改宣言	从主视图拆分，便于后续程序读取
WG004	收刀归息	主槽	阴值≥7	阴值≥7：额外降低1层轻交锋状态	否			从主视图拆分，便于后续程序读取
WG004	收刀归息	合值	合值≥10	合值≥10：取回1枚最低阶已用常规气骰入气海；限每轮1次	否		同源每轮一次；普通触发只回最低阶常规骰	从主视图拆分，便于后续程序读取
WG004	收刀归息	差值/风险	阴阳差≥5	阴阳差≥5：自身失势	否		写入状态或势面；不得回溯改宣言	从主视图拆分，便于后续程序读取
WG005	沧浪一线	主槽	阳值≥16	阳值≥16：追加气血=爆发×1	是	爆发		从主视图拆分，便于后续程序读取
WG005	沧浪一线	合值	合值≥22	合值≥22：目标失衡2层	否			从主视图拆分，便于后续程序读取
WG005	沧浪一线	差值/风险	阴阳差≥7	阴阳差≥7：自身崩势	否		写入状态或势面；不得回溯改宣言	从主视图拆分，便于后续程序读取
WG006	燕回侧步	主槽	阴值≥7	阴值≥7：不触发普通追身机会	否			从主视图拆分，便于后续程序读取
WG006	燕回侧步	合值	合值≥10	合值≥10：关闭一条普通目标线到本动作结束	否			从主视图拆分，便于后续程序读取
WG006	燕回侧步	差值/风险	阴阳差≥5	阴阳差≥5：自身迟滞1层	否		写入状态或势面；不得回溯改宣言	从主视图拆分，便于后续程序读取
WG007	回身护肩	主槽	阴值≥7	阴值≥7：额外抵消气血3点	否			从主视图拆分，便于后续程序读取
WG007	回身护肩	合值	合值≥10	合值≥10：可承接该目标线剩余结果	否			从主视图拆分，便于后续程序读取
WG007	回身护肩	差值/风险	阴阳差≥5	阴阳差≥5：自身迟滞1层	否		写入状态或势面；不得回溯改宣言	从主视图拆分，便于后续程序读取
WG008	截腕挑锋	主槽	阴值≥7	阴值≥7：该气骰改入息库	否			从主视图拆分，便于后续程序读取
WG008	截腕挑锋	合值	合值≥10	合值≥10：目标本次失去持械许可	否			从主视图拆分，便于后续程序读取
WG008	截腕挑锋	差值/风险	阴阳差≥5	阴阳差≥5：自身破口1层	否		写入状态或势面；不得回溯改宣言	从主视图拆分，便于后续程序读取
WG009	夺器压腕	主槽	阴值≥9	阴值≥9：目标武器脱手落在近身区域	否			从主视图拆分，便于后续程序读取
WG009	夺器压腕	合值	合值≥14	合值≥14：同时关闭目标1项连招前置	否			从主视图拆分，便于后续程序读取
WG009	夺器压腕	差值/风险	阴阳差≥6	阴阳差≥6：自身破口1层	否		写入状态或势面；不得回溯改宣言	从主视图拆分，便于后续程序读取
FM001	听痕辨路	主槽	阴值≥7	阴值≥7：确认痕迹方向或新旧	否			从主视图拆分，便于后续程序读取
FM001	听痕辨路	合值	合值≥10	合值≥10：危机-1	否			从主视图拆分，便于后续程序读取
FM001	听痕辨路	差值/风险	阴阳差≥5	阴阳差≥5：记录误判风险	否			从主视图拆分，便于后续程序读取
FM002	行气解穴	主槽	阴值≥8	阴值≥8：封穴影响的1枚气骰本轮可正常回收	否			从主视图拆分，便于后续程序读取
FM002	行气解穴	合值	合值≥12	合值≥12：封穴再-1层	否			从主视图拆分，便于后续程序读取
FM002	行气解穴	差值/风险	阴阳差≥5	阴阳差≥5：施法者失势	否		写入状态或势面；不得回溯改宣言	从主视图拆分，便于后续程序读取
FM003	压场问话	主槽	阳值≥7	阳值≥7：写入“暂时压住场面”许可	否			从主视图拆分，便于后续程序读取
FM003	压场问话	合值	合值≥10	合值≥10：取得一项可追问入口	否			从主视图拆分，便于后续程序读取
FM003	压场问话	差值/风险	阴阳差≥5	阴阳差≥5：关系记录增加“冒犯”风险	否			从主视图拆分，便于后续程序读取
FM004	简药止血	主槽	阴值≥7	阴值≥7：额外气血+2	否			从主视图拆分，便于后续程序读取
FM004	简药止血	合值	合值≥10	合值≥10：药物不额外消耗，限普通材料	否			从主视图拆分，便于后续程序读取
FM004	简药止血	差值/风险	阴阳差≥5	阴阳差≥5：药物资源消耗+1	否			从主视图拆分，便于后续程序读取
FM005	残页参悟	主槽	阴值≥8	阴值≥8：排除一项误读	否			从主视图拆分，便于后续程序读取
FM005	残页参悟	合值	合值≥12	合值≥12：打开整理许可	否			从主视图拆分，便于后续程序读取
FM005	残页参悟	差值/风险	阴阳差≥5	阴阳差≥5：记录“疑义待校”	否			从主视图拆分，便于后续程序读取

=== Sheet: 招式_03_便行与随手便行 ===
动作ID	名称	类型	消耗	默认效果	不能做的事	是否改变记录	是否触发响应	资源去向	备注
BX001	移步	出手便行	1枚气骰；消耗出手	改变1档位置或取得明确站位	不能穿越强封锁；不能稳定脱离纠缠	可以，低强度位置记录	不触发截击/应招，除非条目另写	已用骰入息库	低强度移动入口
BX002	整身	出手便行	1枚气骰；消耗出手	起身、整理持械、迟滞-1、关闭轻破口之一	不能清强状态、不能改势	可以，低强度状态/姿态记录	不触发响应，除非有人争夺动作对象	已用骰入息库	处理倒地与姿态散乱
BX003	援手	出手便行	1枚气骰；消耗出手	扶起同伴、递物、拉离普通边缘	不能替同伴应招，不能承接目标线	可以，低强度援助记录	通常不触发响应	已用骰入息库	护人仍需外功或应招条目
BX004	取物	出手便行	1枚气骰；消耗出手	取出或拾起可及物件	有人争夺时改正式出手	可以，资源位置改变	有人争夺时进入交锋响应	已用骰入息库	适合取药、拔出显露物件
BX005	闭息	出手便行	1枚气骰；消耗出手	本轮抵抗一次轻环境压力	不能解毒、不能治疗、不能免疫所有动景	可以，场景压力处理	通常不触发响应	已用骰入息库	处理烟尘、水压、短时毒雾
BX006	调息	出手便行	1枚气骰作息引；消耗出手	从息库取回指定常规气骰，重掷入气海	不治疗、不清状态、不改势、不护体	可以，气骰区域改变	不触发响应	息引入息库；取回骰入气海	基础回气入口
BX007	返照	随手便行·特殊	0骰；不消耗出手	断气时取回最低阶本命气骰，重掷入气海	不治疗、不清状态、不护体、不额外攻击	可以，只改变最低限度气骰区域	不触发响应	取回骰入气海	特殊保底，不是普通随手便行
BX008	短话示意	随手便行	0骰；不消耗出手	一句短话或简单手势	不能谈判、威慑、命令、复杂传讯	通常不改变主要记录	不触发响应	无	只保留叙事沟通
BX009	换握丢弃	随手便行	0骰；不消耗出手	换握已持物或丢弃手中小物	不能拔新武器、不能夺物、不能换装	通常不改变主要记录	不触发响应	无	只处理极小动作

=== Sheet: 招式_04_强度标尺 ===
强度轴	玩家可见/开发者	低强度表现	中强度表现	高强度表现	设计备注
层级	玩家可见	俗家	行家	神功/禁功	层级越高，基础效果、触发强度、特殊机制上限越高
最低投入	玩家可见	2骰左右	3—5骰	6骰以上，神功可更高	投入门槛是限制强招的第一道门
式位	玩家可见	起式	承式/转式/收式	绝式/化境	起式低门槛低效果；绝式高势、高前置、高投入
时点类型	玩家可见	随手便行	出手便行/应招	正式出手/高阶截击	正式出手结果最完整；截击窄口强；应招防守强
势要求	玩家可见	不设指定势	指定势	指定势+前置	势是状态面，不是数值，不写门槛-1
连招前置	玩家可见	无前置	一项前置	多前置或强前置	前置越多，强度越可放开
回气能力	玩家可见+开发者	无或调息	收式少量回气	高阶条目少量返还	普通主攻不大量回气；收式、行气法门更适合
设计强度档	开发者	C/D	B	A/S	不写进玩家规则，只用于防超模
并行/限制	开发者	无	标签限制	强并行限制或代价	主要用于极阴极阳、神功禁功、强构筑限制

=== Sheet: 招式_05_数据字典 ===
字段/枚举	取值	说明	是否玩家可见
大类	外功/法门/便行	外功和法门为招式库主体；便行列入小样便于看强度边界	是
式位	起式/承式/转式/收式/绝式/化境/无	式只属于招式，不属于内功；法门通常为无	是
六面势	阴盛/阳盛/合势/圆融/崩势/失势	势是状态面，不是数值；不写减一加一	是
槽值	阴值/阳值/合值/阴阳差	基础效果不读槽值；槽值只触发附加与风险	是
层级	俗家/行家/神功/禁功/通用	规则层级，玩家可见	是
设计档	S/A/B/C/D	开发者强度档，控制超模，不作为规则效果	否
阴阳路数标签	极阳/少阳/中平/少阴/极阴/混元/无	可作为风格、门派、招式前置或限制标签；不能替代气性门槛	是
气性门槛	至少1阴/至少1阳/至少1原始/阴阳各1等	真正的气骰配置门槛，和阴阳路数标签分开	是
资源去向	入息库/入气海/临气消失/资源消耗	每条招式必须写清落果后资源去向	是

=== Sheet: 装备_01_装备主表 ===
装备ID	装备名	装备大类	装备小类	层级	阴阳标签	武器手位/装备部位	持握/穿戴方式	可用距离	佩饰限制	玩家可见说明	资源状态	获取来源	备注
EQ-W001	环首刀	武器	刀	俗用	少阳	主手	单手持握	近身	—	常见短兵，提供刀类近身主攻与截击许可。	完好	市集、镖局、军镇	武器分主副；本件默认主手。
EQ-W002	青锋剑	武器	剑	精良	中平	主手	单手持握	近身	—	轻快利器，适合拆招、点刺与应招。	完好	门派、武馆、商会	可读观照或身势类招式许可。
EQ-W003	白蜡长枪	武器	长柄	俗用	少阳	双手	双手持握	近身/中距	—	长柄兵器，适合封线、拦路、突刺。	完好	军镇、镖局	双手占用，不能同时持盾。
EQ-W004	藤牌	武器	盾牌	俗用	中平	副手	副手持握	贴身/近身	—	盾牌归入武器，提供护人、承接目标线与盾击许可。	完好	市集、军镇	不是护具，需持握才生效。
EQ-W005	袖箭	武器	暗器	精良	少阴	副手/暗藏	暗藏或副手待发	中距	—	暗藏机关短矢，适合截击、破隐、打断法门。	完好	黑市、机关匠	需要装填；耗尽后关闭发射许可。
EQ-W006	九节鞭	武器	软兵	行家	少阴	主手	单手持握	近身/中距	—	软兵，适合缠绕、夺器、断前置。	完好	江湖师承、黑市	高操作武器，普通新手不建议开局投放。
EQ-A001	厚布上衣	护甲	上装	俗用	中平	上装	穿戴	—	—	粗布厚衣，轻微护身，不影响行动。	完好	市集、家当	护甲拆上装和下装。
EQ-A002	软皮上甲	护甲	上装	精良	中平	上装	穿戴	—	—	轻便皮甲，护体稳定，稍影响身势。	完好	皮匠、镖局	适合低阶江湖人。
EQ-A003	锁子上甲	护甲	上装	行家	少阳	上装	穿戴	—	—	锁环护身，承伤强，但隐匿和身势受限。	完好	军镇、门派库房	强护甲应带身势代价。
EQ-A004	皮护腿	护甲	下装	精良	中平	下装	穿戴	—	—	护住腿膝，降低跌倒与迟滞影响。	完好	皮匠、镖局	下装护甲。
EQ-A005	踏云靴	护甲	下装	行家	少阴	足部/下装	穿戴	—	—	轻靴，利于移步、追身和复杂地形。	完好	门派、黑市	下装/足部件，可给身势。
EQ-P001	青玉戒	佩饰	戒指	奇物	中平	佩饰位	佩戴	—	佩饰最多1件	温润小戒，稳定心眼，提供观照与原始气骰。	完好	遗物、师承、黑市	佩饰最多同时生效1件。
EQ-P002	朱砂护符	佩饰	护符	奇物	少阳	佩饰位	佩戴	—	佩饰最多1件	朱砂护身，危急时给阳性临时气骰。	完好	道观、黑市、剧情	临时气骰使用后消失。
EQ-P003	寒纹玉佩	佩饰	玉佩	奇物	少阴	佩饰位	佩戴	—	佩饰最多1件	寒纹入玉，火势中可稳住身形。	完好	寒地商路、剧情	可提供阴性临时气骰。
EQ-P004	黑檀念珠	佩饰	念珠	行家	中平	佩饰位	佩戴	—	佩饰最多1件	行气时压住杂念，给回气与行气许可。	完好	寺观、师承	佩饰，不是内功。
EQ-T001	火折	器具	照明	俗用	少阳	工具位	携带/手持	接触/近处	—	点火照明，可提供点火和轻冻结处理便行。	完好	市集、行囊	器具给便行许可。
EQ-T002	罗盘	器具	测向	精良	中平	工具位	手持	同区域	—	辨路测向，辅助查探、追踪、风水类法门。	完好	商旅、术士	主要给法门许可。
